raw_id	env_package	attribute_name	harmonized_name	value
15612307		growth facility		experimental garden
15612308		growth facility		experimental garden
15612309		growth facility		experimental garden
15612310		growth facility		experimental garden
15612311		growth facility		experimental garden
15612312		growth facility		experimental garden
15612313		growth facility		experimental garden
15612314		growth facility		experimental garden
15612315		growth facility		experimental garden
15612316		growth facility		experimental garden
15612317		growth facility		experimental garden
15612318		growth facility		experimental garden
15612319		growth facility		experimental garden
15612320		growth facility		experimental garden
15612321		growth facility		experimental garden
15612322		growth facility		experimental garden
15612323		growth facility		experimental garden
15612324		growth facility		experimental garden
15612325		growth facility		experimental garden
15612326		growth facility		experimental garden
15612327		growth facility		experimental garden
15612328		growth facility		experimental garden
15612329		growth facility		experimental garden
15612330		growth facility		experimental garden
15612331		growth facility		experimental garden
15612332		growth facility		experimental garden
15612333		growth facility		experimental garden
15612334		growth facility		experimental garden
15612335		growth facility		experimental garden
15612336		growth facility		experimental garden
15612337		growth facility		experimental garden
15612338		growth facility		experimental garden
15612339		growth facility		experimental garden
15612340		growth facility		experimental garden
15612341		growth facility		experimental garden
15612342		growth facility		experimental garden
15612343		growth facility		experimental garden
15612344		growth facility		experimental garden
15612345		growth facility		experimental garden
15612346		growth facility		experimental garden
15612347		growth facility		experimental garden
15612348		growth facility		experimental garden
15612349		growth facility		experimental garden
15612350		growth facility		experimental garden
15612351		growth facility		experimental garden
15966396		growth facility		glasshouse
15966397		growth facility		glasshouse
15966398		growth facility		glasshouse
15966399		growth facility		glasshouse
16230668		growth facility		glasshouse
16230669		growth facility		glasshouse
16230670		growth facility		glasshouse
16230671		growth facility		glasshouse
16230672		growth facility		glasshouse
16230673		growth facility		glasshouse
16230674		growth facility		glasshouse
16230675		growth facility		glasshouse
16389814		growth facility		growth chamber
16389815		growth facility		growth chamber
16389816		growth facility		growth chamber
16389817		growth facility		growth chamber
16389818		growth facility		growth chamber
16389819		growth facility		growth chamber
16389820		growth facility		growth chamber
16389821		growth facility		growth chamber
16389822		growth facility		growth chamber
16389823		growth facility		growth chamber
16389824		growth facility		growth chamber
16389825		growth facility		growth chamber
16389826		growth facility		growth chamber
16389827		growth facility		growth chamber
16389828		growth facility		growth chamber
16389829		growth facility		growth chamber
16389830		growth facility		growth chamber
16389831		growth facility		growth chamber
16497185		growth facility		growth chamber
16497186		growth facility		growth chamber
